x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040,x041,x042,x043,x044,x045,x046,x047,x048,x049,x050,x051,x052,x053,x054,x055,x056,x057,x058,x059,x060,x061,x062,x063,x064,x065,x066,x067,x068,x069,x070,x071,x072,x073,x074,x075,x076,x077,x078,x079,x080,x081,x082,x083,x084,x085,x086,x087,x088,x089,x090,x091,x092,x093,x094,x095,x096,x097,x098,x099,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,y
1540332,,,,8,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,1,,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,300,0,,,,0,0,,0,0,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.0000,0,0,,0,0,0,0,0,0,1,1,1,0,0,,,,,0,0,,0,,0,,0,0,0,0,,0,,706
823066,4,3,3,4,0,2,2,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,2,0,1,0,0,1,0,14,7,8,10,11,8,1,2,4,5,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,8,0,1,1,2,4,8,0,0,0,0,0,0,0,7,0,22375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,0,0,1,4582,4,4,4.0000,0.9256,1,1,1,0.9339,5206,0,,0,0,0,5206,0,5206,1,1,1,2,0,1,4,3,3.5000,5206,5206,0.9339,0,,5206,0.9339,1,1,1,0,,0,,558
1089795,,,,96,1,0,0,0,1,3,4,1,0,9,0,9,2,0,9,0,2,0,0,0,0,1,0,0,3,4,0,0,0,0,1,0,0,0,0,,0,0,1800,200,0,0,0,0,0,0,0,0,0,0,2,,,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3287,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1613,1026,1800,0,,,,5,0,,0,0,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.2281,1613,1613,0.4814,0,0,0,0,0,0,1,1,1,0,0,,,,,0,0,,0,,0,,0,0,0,0,,0,,577
1147758,63,14,38,258,0,0,0,1,2,1,1,1,1,7,2,5,5,2,4,1,3,1,3,0,0,1,0,0,3,1,0,0,1,1,1,0,0,1,1,1.5200,300,-156,4000,100,0,0,0,0,0,0,0,0,0,0,2,1.5200,1.5200,5,0,0,0,0,5,5,3,0,0,0,0,3,3,5,3,684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,101,1,1,0,0,0,0,0,2,2,0,0,0,5,2,4,5,5,5,2,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,9,3,6,7,7,7,5,8,9,9,9,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1.0000,1.0000,0,0,0,0,0,0,0,0,0,4796,4340,4000,-156,14,14,14.0000,2,1,1.5200,456,1,1,1,1,0,1,1,1,0,2,1,63,63,63.0000,57762,0.8231,1,1,1,0,0,,,,,0,0,0,0.8204,62558,4796,1.1153,1,2,2,58218,58218,0,1,1,1,1,0,2,63,63,63.0000,57762,57762,0.8231,57762,0.8231,0,,1,1,1,0,,0,,526
1229670,34,25,29,34,1,0,0,0,3,0,0,0,0,3,2,1,2,1,3,2,2,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0.2111,900,710,1000,300,1,0,0,0,0,0,1,0,0,0,0,0.6200,0.0066,7,0,1,1,3,7,7,1,0,0,0,0,1,1,3,1,2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,2,2,0,0,0,2,0,1,2,2,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,2,2,0,0,0,2,0,1,2,2,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,0,0,0,0,0,0,0,0,190,186,1000,710,34,25,29.5000,3,1,0.6200,186,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.1000,190,186,0.1430,1,1,1,190,190,0,1,1,1,0,0,,,,,0,0,,0,,0,,0,0,0,0,,0,,496
1292282,,,,126,0,0,0,0,0,1,0,0,2,3,0,3,2,0,1,0,1,0,2,0,1,0,0,2,0,1,0,0,1,1,1,0,0,1,1,,0,0,200,200,0,0,0,0,0,0,0,0,0,0,1,,,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,10,0,0,0,3,9,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,319,319,200,0,,,,1,0,,0,0,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.0100,319,319,0.0178,0,0,0,0,0,0,1,1,1,0,0,2,,,,0,0,,0,,0,,0,0,0,0,,0,,528
915987,53,11,27,53,0,0,1,3,1,4,0,0,0,9,8,1,3,3,7,7,2,2,2,0,1,1,0,2,6,11,0,0,1,5,7,0,0,1,3,0.8648,6800,919,3500,300,0,0,0,0,1,0,0,0,2,3,1,1.1533,0.4020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,2,1,1,0,0,0,0,0,1,5881,2947,3500,919,53,11,27.0000,0,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,1,25031,27,27,27.0000,0.8225,1,1,1,0.5250,40911,9999,0.2457,0,0,0,30912,0,30912,1,1,1,1,0,9,27,27,27.0000,25031,25031,0.8225,0,,25031,0.8225,1,1,1,0,,0,,551
1564237,76,7,36,107,0,0,2,3,3,2,6,1,0,17,14,3,3,3,5,2,2,2,12,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5766,600,254,300,200,0,0,0,0,1,0,0,1,0,0,0,0.7233,0.4299,2,0,1,1,2,2,2,0,0,0,0,0,0,0,2,0,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,0,0,0,0,0,0,0,0,346,217,300,254,24,12,18.0000,3,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,1.0311,53449,0,0.0000,0,0,0,53449,129,53320,1,1,1,12,0,1,76,7,39.6666,53103,53103,1.0528,0,,53103,1.0528,1,1,1,0,1,53103,1.0528,607
921618,23,0,9,73,0,2,4,1,1,0,1,0,0,7,3,4,5,3,4,3,3,3,3,0,1,1,0,1,3,8,2,3,4,4,7,1,2,3,3,0.5852,8750,3629,6500,500,1,0,0,0,0,0,0,1,0,0,0,0.7864,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666,0.6666,2,1,1,1,0,0,1,2,3,5121,5112,6500,3629,23,0,9.3333,0,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.1589,5121,0,0.0000,0,0,0,5121,0,5121,1,1,1,0,0,9,,,,0,0,,0,,0,,0,1,1,0,,0,,653
1367529,164,18,53,179,0,0,0,4,1,1,0,2,6,14,7,7,8,6,7,4,3,3,4,1,1,1,1,4,3,3,0,0,0,0,2,0,0,0,0,0.7424,58100,14965,74500,100,0,0,1,0,0,0,1,0,1,1,1,1.0108,0.2175,7,0,0,2,4,7,7,1,0,0,1,1,1,1,6,0,7130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,1,1,0,0,5,0,4,4,4,4,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,19,0,4,4,6,10,1,5,5,7,11,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,2,2,2,1,0,0,0,0,0,13508,8810,9000,592,164,19,57.5000,2,0,,0,1,1,1,1,0,1,2,1,0,2,1,109,109,109.0000,29627,0.6733,1,1,1,1,34059,19,18,18.5000,0.6667,1,1,1,0.2410,77194,0,,0,0,1,77194,14607,62587,1,1,1,2,0,3,19,18,18.5000,34059,34059,0.6667,14520,0.5470,19539,0.7962,1,1,1,0,,0,,589
1278016,274,274,274,319,1,0,0,0,0,0,0,0,3,3,1,2,2,1,2,1,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0456,25800,24622,25800,10000,1,0,0,0,0,0,0,0,0,0,0,0.0456,0.0456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,1,1,1,0,0,0,1178,1178,25800,24622,274,274,274.0000,0,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.0328,1178,0,,0,0,0,1178,0,1178,1,1,1,0,0,,,,,0,0,,0,,0,,0,0,0,0,,0,,793
1666563,9,2,5,9,0,2,3,0,0,0,0,0,0,3,3,0,1,1,3,3,1,1,0,0,0,1,0,0,3,3,0,1,3,3,2,0,1,2,2,0.8512,1600,238,700,400,0,0,0,0,0,0,0,2,0,1,0,0.9185,0.7974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,0,0,0,0,0,1,2,3,1362,643,700,238,9,2,5.3333,0,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.8512,1362,0,,0,0,0,1362,0,1362,1,1,1,0,0,,,,,0,0,,0,,0,,0,0,0,0,,0,,610
921214,,,,229,0,0,0,0,0,2,2,1,6,11,0,11,5,0,2,0,1,0,9,0,1,0,0,3,0,4,0,0,1,1,4,0,0,1,1,,0,0,250,250,0,0,0,0,0,0,0,0,0,0,0,,,26,0,0,1,4,13,22,3,0,0,1,1,1,1,18,1,24437,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,142,142,250,0,,,,2,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,0.0037,142,142,0.3622,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,,0,,0,,0,0,0,0,1,0,,517
1188777,18,4,10,34,0,2,6,2,1,0,0,0,0,9,6,3,3,3,4,4,1,1,5,0,1,1,0,2,4,13,1,1,3,7,10,1,1,2,5,1.0297,1850,-55,750,300,0,0,0,0,0,0,0,0,0,2,2,1.1125,0.9266,5,0,0,0,0,1,4,0,0,0,0,0,0,0,4,0,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,0,0,0,0,0,0,0,1,3,1905,738,750,-55,18,5,11.2500,0,0,,0,1,1,1,1,0,0,0,0,0,,0,,,,0,,0,0,0,1,13754,15,15,15.0000,0.8830,1,1,1,0.5742,16084,425,0.3035,1,1,1,16084,425,15659,1,1,1,2,1,9,15,4,9.5000,14179,14179,0.8765,425,0.7083,13754,0.8830,1,1,1,0,,0,,477
1341447,463,1,214,512,0,3,3,0,0,0,0,0,11,14,8,6,7,5,8,4,4,3,2,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0.1194,50300,44292,110000,124,3,1,0,1,0,0,0,1,0,0,0,0.7912,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,4,3,3,3,2,1,1,2,2,2868,1867,25900,42108,463,5,293.3999,0,0,,0,1,1,1,1,0,1,1,0,0,1,0,,,,0,,0,0,1,0,0,,,,,0,0,0,0.0564,16059,0,,0,0,0,16059,0,16059,1,1,1,1,0,1,1,1,1.0000,9275,9275,0.9722,0,,9275,0.9722,1,1,1,0,,0,,835
1472835,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,4,5,8,7,1,2,3,5,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,,0,0,0,0,,0,,517
1288605,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,4,2,0,1,2,2,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,18,0,0,3,8,14,18,4,0,0,0,2,2,4,12,4,7948,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,0,0,0,0,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,0,,0,,0,0,0,0,,0,,474
845976,126,6,60,327,0,0,1,0,0,3,2,1,8,15,7,8,6,5,10,4,3,3,2,1,1,1,3,2,7,0,0,0,0,0,0,0,0,0,0,0.8995,44000,4419,30000,300,0,0,1,1,1,0,0,0,0,2,0,0.9827,0.3599,3,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000,1.0000,3,3,3,2,1,1,0,0,1,45313,29481,30000,4419,126,6,73.5000,0,0,,0,1,1,1,1,1,1,3,1,0,2,1,38,38,38.0000,247033,0.9501,0,1,1,1,8059,49,44,46.5000,0.2119,1,1,1,0.4281,300405,0,,0,0,0,294673,0,294673,1,1,1,2,0,1,49,44,46.5000,8059,255092,0.2119,0,,8059,0.2119,1,1,1,0,,0,,672
